titulo,descripcion,fecha,lugar,link de compra
Angry Birds Activity Park en Las Palmas de Gran Canaria,"No te pierdas el concierto ""Angry Birds Activity Park en Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Angry Birds Activity Park Gran Canaria, Urbanización Puerto Rico, Av. de la Cornisa, 2, 35130 a partir de las 00:00
Con los artistas:

Park
Angry Birds Activity Park",Varias Fechas (12/10/2023 - 10/12/2023),Angry Birds Activity Park Gran Canaria,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141666&u=https://feverup.com/m/141666&intsrc=CATF_14215
Mundo Aborigen en Las Palmas de Gran Canaria,"No te pierdas el concierto de Aborigen, ""Mundo Aborigen en Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Mundo Aborigen, Mundo Aborigen, 35107 a partir de las 00:00
Con los artistas:

Aborigen",Varias Fechas (12/10/2023 - 10/12/2023),Mundo Aborigen,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141747&u=https://feverup.com/m/141747&intsrc=CATF_14215
Bus turístico por Las Palmas de Gran Canaria,"No te pierdas el concierto ""Bus turístico por Las Palmas de Gran Canaria"" el próximo Jueves 12 de Octubre de 2023 en Parque Santa Catalina, Parque Santa Catalina 35007 a partir de las 10:00
Con los artistas:

Bus Turístico
Gran Canaria",Varias Fechas (12/10/2023 - 04/12/2023),Parque Santa Catalina,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141684&u=https://feverup.com/m/141684&intsrc=CATF_14215
Paseo en camello por las dunas de Maspalomas en Las Palmas de Gran Canaria,"No te pierdas el concierto de Paseo en camello por las dunas de Maspalomas, ""Paseo en camello por las dunas de Maspalomas en Las Palmas de Gran Canaria"" el próximo Viernes 13 de Octubre de 2023 en Safari en camello, C. Oceanía 35100 a partir de las 09:00
Con los artistas:

Paseo en camello por las dunas de Maspalomas",Varias Fechas (13/10/2023 - 10/12/2023),Safari en camello,https://fever.pxf.io/c/1433913/1804385/16345?prodsku=141716&u=https://feverup.com/m/141716&intsrc=CATF_14215
Jalezz en Gran Canaria,"No te pierdas el concierto de Jalezz, ""Jalezz en Gran Canaria"" el próximo Sábado 11 de Noviembre de 2023 en ODISEA MUSIC CLUB, AVENIDA DE CANARIAS, 429 a partir de las 23:00
Con los artistas:

Jalezz
Javier Martínez González, conocido como Jalezz nació en Sevilla (España) el 19 de Junio de 1998 A los 16 años empezó a curiosear por el mundo de la música, donde acabaría subiendo a redes sociales sus primeras covers. Empezó a conocerse más por hacer sus versiones de otros temas por la plataforma de Tik Tok. El estilo por el que decanta es la música urbana y entre sus mayores referentes se encuentran Feid, Dalex, Rauw y Lenny Tavárez.",En Concierto 11/11/2023 a las 23:00,ODISEA MUSIC CLUB,https://www.tomaticket.es/es-es/entradas-jalezz-gran-canaria
Tardeo 5 estrellas en Gran Canaria,"Domingo 12 Nov
17:00 - 00:00
Grupo principal: fijo discontinuo
Dj: José viera

Entrada: 10€ con una copa o dos cañas

VIVE LOS MEJORES TARDEOS DESDE LAS ALTURAS EN ATICO",12/11/2023 a las 17:00,Ático Terraza Lounge,https://www.tomaticket.es/es-es/entradas-tardeo-5-estrellas-en-gran-canaria
MOMO - en Cruce de Arinaga,"¡Sumérgete en el mágico universo de ""Momo""! Esta cautivadora obra, basada en la",18/11/2023 a las 18:00,Teatro Cruce de Culturas,https://www.tickentradas.com/eventos/momo-cruce-culturas-2023
CASCANUECES - INTERNATIONAL BALLET COMPANY en Agüimes,"La Navidad es una gran fiesta en casa de Clara, y todos los niños reciben un regalo. A",19/11/2023 a las 18:00,Teatro Auditorio Agüimes,https://www.tickentradas.com/eventos/cascanueces-teatro-auditorio-aguimes-2023
Medea. Filmoteca Filarmónica LPGC,"Título: MEDEA , FILMOTECA FILARMÓNICA LPGC
 Año: 1969
Duración:118’
País: ITALIA
Dirección:  Pier Paolo Pasolini
Guión: Pier Paolo Pasolini
Música: Pier Paolo PAsolini
Fotografía: Ennio Guarnieri
Reparto:  Maria Callas, Massimo Girotti, Guiuseppe Gentile yLaurent Terzieff
-Precio de la entrada: De pago. 5 € público general. 3 € socios SFGC
Sinopsis:  Adaptación de la tragedia de Eurípides, en la que Pasolini jugó a oponer el racionalismo propio de la cultura helénica con la sensualidad y la magia orientales. El resultado de la operación resultó aparente, aunque sólo parcialmente positivo. Es un espectáculo que posee una innegable capacidad de fascinación, pero al que le falta una mayor dosis de coherencia.
 ",21/11/2023 a las 19:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-medea-filmoteca-filarmonica
Michael Alonso en Concierto," ""Michael Alonso en Concierto""
Día: 24 de Noviembre de 2023
Hora de comienzo: 20:00H horas.
Duración: 100 min minutos aproximadamente 
Precio : 13€
Michael Alonso presenta su nuevo espectáculo, “Especie En Extinción”. Un concierto cargado de emociones, buenas vibras y mucho color. Con nuevas canciones compuestas por el propio artista y que incluirá en su segundo trabajo discográfico. Creado para disfrutar y dar un “chute” de energía.
¡No te lo puedes perder!",24/11/2023 a las 20:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-michael-alonso-en-concierto
Oriental Club Black Friday en Gran Canaria,"¡Celebra con Oriental el Día del Black Friday en TAO Club & Garden! 🎉🖤🌟

Este Viernes 24 de Noviembre, únete a nosotros en una noche épica, quien se imaginaba celebrar el Black Friday?

¡Prepárate para una experiencia inigualable que no querrás perderte! 💃🕺

TAO Club & Garden se transformará en un paraíso nocturno, ya sabes como la solemos liar para mantenerte en movimiento toda la noche. ¿Estás listo para vivir la fiesta del Black Friday como nunca antes? ¡No te lo pierdas!",24/11/2023 a las 23:00,TAO Club Garden,https://www.tomaticket.es/es-es/entradas-oriental-club-black-friday-gran-canaria
Concierto Solidario APEM. Fila 0,"""Concierto Solidario"" APEM (Asociación Provincial de Esclerosis Múltiple de Las Palmas)
Día: 25 de Noviembre de 2023
Hora de comienzo: 19:00H horas.
Duración: 150 min minutos aproximadamente 
Precio DONATIVOS FILA 0 : 5€
El evento que organizamos desde APEM, es totalmente solidario donde todos los artistas participan de manera altruista a favor de nuestra asociación. Los beneficios obtenidos serán para llevar la fisioterapia a los distintos municipios de la isla de forma domiciliaria, ya que los pacientes con esclerosis múltiple en su gran mayoría no pueden llegar a sede debido a su discapacidad.",25/11/2023 a las 19:00,Colaboración. Aportación Fila 0,https://www.tomaticket.es/es-es/entradas-concierto-solidario-apem-fila-0
Concierto Solidario APEM," ""Concierto Solidario"" APEM (Asociación Provincial de Esclerosis Múltiple de Las Palmas)
Día: 25 de Noviembre de 2023
Hora de comienzo: 19:00H horas.
Duración: 150 min minutos aproximadamente 
Precio : 12€
El evento que organizamos desde APEM, es totalmente solidario donde todos los artistas participan de manera altruista a favor de nuestra asociación. Los beneficios obtenidos serán para llevar la fisioterapia a los distintos municipios de la isla de forma domiciliaria, ya que los pacientes con esclerosis múltiple en su gran mayoría no pueden llegar a sede debido a su discapacidad.",25/11/2023 a las 19:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-concierto-solidario-apem
"ARINAGA EN CINCO CUERDAS - GERMÁN LÓPEZ - JOSEMI CARMONA, JAVIER COLINA Y BANDOLERO en Agüimes",GERMÁN LÓPEZ,25/11/2023 a las 19:30,Teatro Auditorio Agüimes,https://www.tickentradas.com/eventos/arinaga-en-cinco-cuertdas-teatro-auditorio-aguimes-2023
"MAMÁ NOELIA - ANTONIA SAN JUAN, YEYO BAYEYO Y SANTI ALMEIDA en Cruce de Arinaga","MAMA NOELIA no es una historia nueva pero sí es novedosa porque la protagonista es una mujer y es ella la que tiene que cambiar.La Navidad para Mamá Noelia es una época de mucho trabajo, como para casi todas las mujeres y madres. No solo porque siempre se han tenido que encargar de hacer todas las tareas domésticas: preparar la cena, decorar la casa, hacer las compras.... Mamá Noelia no solo tiene esta responsabilidad, sino que además tiene una carga impuesta que es la de ayudar a Papá Noel y acompañarle en el reparto de juguetes el día 24 Diciembre por todo el mundo, como así se estableció cuando comenzó la relación entre ambos (se casaron)Así ha sido la historia de nuestra protagonista hasta ahora, pero la crisis aparece cuando Papá Noel se vuelve más y más egoísta y decide quedarse en casa, y que sea ella la que haga todo el trabajo, pero él quiere seguir manteniendo su imagen y su estatus de cara a la galería sin darle a ella lugar y sin que nadie se entere, con lo cual la obliga a disfrazarse de él teniendo que ponerse una barba y una barriga, incluso impostando su famoso",26/11/2023 a las 18:00,Teatro Cruce de Culturas,https://www.tickentradas.com/eventos/mama-noelia-cruce-culturas-2023
"Los tres encuentros: mente, alma y espíritu","""Los tres encuentros: mente, alma y espíritu"" Una obra de Efraín Jaén
Día: 01 de Diciembre de 2023
Hora de comienzo: 20:30H horas.
Duración: 70 min minutos aproximadamente 
Precio : 15€
Sinopsis: Obra musicada en la que la actriz a  través de la música y la danza va entendiendo la diferencia entre estas tres partes; mente, alma y espíritu.",01/12/2023 a las 20:30,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-los-tres-encuentros-mente-alma-y-espiritu
KeTeKalles en Ciclo Soplo de Letras - Gran Canarias en Las Palmas de Gran Canaria,"Concierto de Ketekalles en Gran Canarias, ¡Compra tus entradas para Ketekalles en Gran Canarias!, es un concierto que tiene lugar el 02/12/2023 a las 20:00 en Fábrica La Isleta, Gran Canarias, España. El estilo del concierto es Funk, Hip hop, Pop, Soul y Urbano.",02/12/2023 a las 19:00,Fábrica La Isleta,https://www.wegow.com/es/compra/ketekalles-en-ciclo-soplo-de-letras-gran-canarias#a_aid=Tomaticket&a_bid=3f03c6de&Tomaticket
COLACERDO - en Cruce de Arinaga,"Entre una primera boda y hasta que se cumple la profecía, transcurre todo un siglo.",02/12/2023 a las 19:30,Teatro Cruce de Culturas,https://www.tickentradas.com/eventos/colacerdo-cruce-culturas-2023
Antonio Fernández Sánchez(XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Modern Galician Saxophone
PROGRAMA DEL CONCIERTO
Lin sha´ Allha (ojalá) para saxofón alto solo………………………………..Juan Eiras
Pieza para saxofón soprano……………………………………………………………………….Nacho Mañá
Ambas obras son Estrenos absolutos
NOTA DE PROGRAMA
Como tradición milenaria, la música forma parte de la identidad gallega, cantando sus ricas leyendas y su legado. Probablemente, el saxofón sea el más vocal de los instrumentos de viento. La voz del saxofón nos muestra un camino fantástico para traer esas leyendas al presente.
Desde septiembre de 2022, estoy establecido profesionalmente en Galicia, la tierra de mi familia y el país en el que siempre quise vivir. Tengo muy buenos recuerdos de mi abuelo y yo, tocando juntos el clarinete y el saxofón, y de mi abuela, cantando todas esas canciones tradicionales. Ellos me enseñaron todo ese increíble legado. El legado debe conservarse, pero un intérprete moderno necesita piezas nuevas para mostrar su propia voz. Por eso animo a dos brillantes compositores gallegos a los que admiro a componer nuevas piezas para el XIX CSM, mis queridos Juan Eireas y Nacho Mañá.",06/12/2023 a las 11:30,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-antonio-fernandez-sanchezxix-congreso-mundial-del-saxofon-2023
Jenni Watson( XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
OPEN TOWER
PROGRAMA DEL CONCIERTO
Open Tower para saxofón alto y delay……………..Jenni Watson
Enveloped  para saxofón alto y canto de pájaros………………Wally Wallace
Bleaching para saxofón alto y pista de acompañamiento…………………Erin Royer
NOTA DE PROGRAMA
OPEN TOWER es un recital de 20 minutos de composiciones originales para saxofón solo y efectos/pista de acompañamiento.
Open Tower para saxofón alto y delay es una obra casi postminimalista compuesta a partir de improvisaciones grabadas en el fondo de una enorme torre de refrigeración, jugando con el delay natural y la acústica de la estructura abandonada. 
Enveloped  para saxofón alto y canto de pájaros compuesta por Wally Wallace para The Saxophone Academy (EE.UU.) y encierra la sensación de estar rodeado por un bosque de árboles verdes imposiblemente altos. En 2 movimientos cortos, explora un acto silencioso de escucha, utilizando una larga línea melódica y desarrollando grooves con un equilibrio que abarca simultáneamente emociones positivas y negativas.
Bleaching para saxofón alto y pista de acompañamiento de Erin Royer (Yamaha Artist, Perth WA) y es una respuesta a la devastación del blanqueamiento del coral. Navegando a través de muchos pasajes intrincados, desde la meditación ambiental a complejas estructuras rítmicas, explora el aprecio por la belleza de la vida en el océano, la devastación sombría y, finalmente, una esperanza positiva para el futuro: que todavía hay tiempo para salvar los arrecifes de coral",06/12/2023 a las 13:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-jenni-watson-xix-congreso-mundial-del-saxofon-2023
Robert Finegan (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Modern View of Ancient Ireland
PROGRAMA DEL CONCIERTO
Luminescence………………………………………………………….Christopher Moriarty (*world premiere of new version)
Three Louth Legends………………………………………..John Buckley
Mvt 1 – Salmon of Knowledge
Mvt 2 – Cuchulainn and Ferdia
Mvt 3 – Brown Bull of Cooley
NOTA DE PROGRAMA
«Modern View of Ancient Ireland» es una serie de obras para saxofón y electrónica de compositores irlandeses, encargadas por Robert. Cada pieza de la serie aborda un aspecto diferente de la rica historia y cultura antiguas de Irlanda.
Este proyecto, que describe desde los bellos paisajes que rodean la isla hasta las leyendas y el folclore que se enseña a los niños desde pequeños, es muy personal para Robert. La incorporación de la electrónica junto con las visiones personales de los compositores irlandeses contemporáneos proporciona una visión moderna de estos temas antiguos.
Christopher Moriarty (n.1993) – Luminiscencia (*estreno mundial de la nueva versión)
Allá, en el gran mar de hierba de Delirium, se alza una remota colina coronada de bosquecillos. La mismúsica de este lugar se eleva en vapor resplandeciente, enroscándose en grandes espirales de iridiscencia.
Sobre el dosel ondulante se retuerce un triskelion luminiscente de serpientes doradas; una miríada de criaturas se retuercen y consumen para renacer, girar y consumirse de nuevo. Intenta acercarte y este lios se resiste a ser capturado: para siempre en el horizonte abrasador del crepúsculo.
Inscrito en las Grandes Puertas Doradas de Ciudad Mágica se encuentra este mismo símbolo, que concentra la mistmúsica de esta lejana colina en los siete templos de piedra caída que rodean las murallas de la ciudad. Desde estos santuarios, la Torre de Cristal, situada en la plaza central de Ciudad Mágica, capta grandes y enmarañados arco iris de luz que iluminan las calles jaspeadas de la ciudad».
John Buckley (n. 1951) – Tres leyendas de Louth
Mvt 1 – El Salmón del Conocimiento
Mvt 2 – Cuchulainn y Ferdia
Mvt 3 – Toro Marrón de Cooley
Louth no sólo es el condado natal de Robert, sino que también es conocido como el País de las Leyendas. Tres de las más grandes sagas situadas allí constituyen la base de la obra: El Salmón del Conocimiento, Cuchulainn y Ferdia y El Toro Pardo de Cooley.
  Cada uno de los tres movimientos se inspira y extrae su carácter y estado de ánimo de las leyendas mencionadas: lírico, heroico, dramático. Estas leyendas no sólo tienen un gran significado nacional, sino que son conocidas en todo el mundo como la representación más profunda de nuestra primitiva herencia celta.
 ",06/12/2023 a las 14:20,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-robert-finegan-xix-congreso-mundial-del-saxofon-2023
Masanori Oishi (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Saxophone and electronic works by Japanese composers
PROGRAMA DEL CONCIERTO
Cold Open …………………………………………..Kazutomo YAMAMOTO (Estreno europeo Comisión de Masanori Oishi)
Hypersanity para saxofón alto y electrónica…………………………….Takumi IKEDA (Estreno europeo Encargo de Masanori Oishi y Sumihisa Arima)
The Rise of The Saxophone para saxofón alto y vídeo……….Tomomi ADACHI (Estreno en España Comisión y la interpretación en el vídeo de Masanori Oishi)
NOTA DE PROGRAMA
Concierto de obras para saxofón y electrónica de tres compositores japoneses conocidos por sus composiciones especialmente experimentales. Todos ellos fueron encargados por Masanori Oishi e interpretarán obras que exploran nuevas posibilidades, entre ellas una pieza para partitura de vídeo, una pieza electroacústica y una pieza que se toca mientras se muestrea..",06/12/2023 a las 15:40,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-masanori-oishi-xix-congreso-mundial-del-saxofon-2023
Conferencia de Phillipe Geiss y Christophe Grèzes (XIXCONGRESO MUNDIAL DEL SAXOFÓN 2023),,06/12/2023 a las 16:30,SALA CAIRASCO,https://www.tomaticket.es/es-es/entradas-conferencia-de-phillipe-geiss-y-christophe-grezes-xixcongreso-mundial-del-saxofon-2023
Duo correntes (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Música de Mulheres Brasileiras
PROGRAMA DEL CONCIERTO
Gaúcho (Corta-Jaca)……………………………. Francisca Edwiges Neves Gonzaga
Gratidão……………………………Amélia Brandão Nery
Chuvisco…………………………..Amélia Brandão Nery
Yatra-Tá…………………………….Tania Maria
Muita Bobeira……………….Luciana Souza
Não Se Impressione (Forrobodó de Massada)……………………….Francisca Edwiges Neves Gonzaga
NOTA DE PROGRAMA
Este programa celebra la música brasileña compuesta por mujeres. Comenzamos con dos obras de choro de Chiquinha Gonzaga, la compositora más conocida del siglo XIX en Brasil. Mientras que el choro se tocaba tradicionalmente con flauta, guitarra y cavaquinho con sección rítmica, Gonzaga fue la primera en tocar el choro al piano. Continuamos la tradición de mostrar la belleza y flexibilidad de este género musical presentando nuevos arreglos para guitarra y saxofón tenor. La música de choro destaca elementos del ritmo y la armonía brasileños tanto en las melodías compuestas como en la improvisación de los intérpretes.
A continuación exploramos la música de otras tres mujeres brasileñas. Presentamos dos piezas de Tia Ámelia, la primera de las cuales (Gratidão) es un vals que compuso a los 12 años.
Las tres últimas obras del programa incluyen voz y saxofón. Tania Maria interpretó originalmente Yatra-Tá al piano con voz, mientras que en este nuevo arreglo el saxofón asume en gran medida el papel de la voz. La obra más contemporánea del programa es Muita Bobeira, de Luciana Souza. Interpretamos un arreglo muy fiel a la grabación de Souza de 2006 con guitarra, presentando la letra en el portugués original y sustituyendo la improvisación vocal de jazz por saxofón.
El programa concluye con otro nuevo arreglo de una obra alegre y movida de Chiquinha Gonzaga (Não Se Impressione), añadiendo un segundo saxofón al conjunto.",06/12/2023 a las 17:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-duo-correntes-xix-congreso-mundial-del-saxofon-2023
Hutchins-Wheeler Duo (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
New works for saxophone duo
PROGRAMA DEL CONCIERTO
Are we all lost like you?………………………………………………….Kyle Hutchins for saxophone duo
Sclavonian Winds……………………………………Tiffany M. Skidmore for saxophone duo (World Premiere)
NOTA DE PROGRAMA
Kyle Hutchins y Kendra Wheeler interpretan a dúo las nuevas obras are we all lost like you? de Kyle Hutchins y Sclavonian Winds de Tiffany M. Skidmore.",06/12/2023 a las 18:20,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-hutchins-wheeler-duo-xix-congreso-mundial-del-saxofon-2023
Conferencia de Henrique Portovedo (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),,06/12/2023 a las 18:30,SALA CAIRASCO,https://www.tomaticket.es/es-es/entradas-conferencia-de-henrique-portovedo-xix-congreso-mundial-del-saxofon-2023
Bender Puzhi Duo (XIXCONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Music for Differently-Abled Saxophonist by Oregon Composers
PROGRAMA DEL CONCIERTO
Move with Brightness of Peace……………Chelsea Majkut for two alto saxophones. WORLD PREMIERE
Offering……………………………………………………………….. Todd Barton for two alto saxophones and fixed media
NOTA DE PROGRAMA
El objetivo del dúo Bender Puzhi es crear y encargar música diseñada específicamente para saxofonistas con discapacidades. Nuestro objetivo es ofrecer una experiencia musical integradora a los saxofonistas con discapacidades diferentes. Con la ayuda de dos renombrados compositores de Oregón, Todd Barton y Chelsea Majkut, presentamos dos hermosos estrenos para saxofón.",06/12/2023 a las 19:40,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-bender-puzhi-duo-xixcongreso-mundial-del-saxofon-2023
Grupo de Saxofones del Conservatorio Superior de Música de Aragón (XIXCONGRESO MUNDIAL DE SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Miradas futuras
PROGRAMA DEL CONCIERTO
Datamorph I * para ensemble de saxofones, electrónica y vídeo……………Alejandro Álvarez
 Ruinas para saxofón tenor solo…………………………………………………………………………………………..Alberto Posadas
Datamorph II * para ensemble de saxofones, electrónica y vídeo…………….Alejandro Álvarez
*estreno absoluto
NOTA DE PROGRAMA
La mirada social-cultural actual está en quiebra. En este tiempo de postmodernidad, las nuevas generaciones de artistas necesitamos alzar la voz para reflexionar sobre nuestro tiempo.
Desde el Aula de Saxofón del Conservatorio Superior de Música de Aragón queremos ofrecer un espectáculo que muestre ese espacio fronterizo entre lo analógico y lo electrónico, el sonido, el teatro y la performance. Para ello hemos elegido a uno de nuestros jóvenes compositores más brillantes, compañero nuestro del CSMA, Alejandro Álvarez, que pondrá sonido a esta nueva obra estructurada en dos partes para octeto de saxofones y
electrónica, en cuyo interludio se podrá escuchar la obra de Alberto Posadas “Ruinas” para saxofón tenor solo, la cual será el conector estético de la nueva obra.
Datamorph – _Para ensemble de saxofones, electrónica y vídeo.
*+ estreno absoluto
“Conviene recordar que en tales espacios residen nuestros datos, tanto los personales como los colectivos, datos que nosotros mismos hemos cedido para que, valiéndose de ellos, toda una constelación de redes de bots generen un yo
paralelo de cada uno de nosotros, paralelo en tanto en cuanto opera en nuestro nombre sin nosotros saberlo, un yo paralelo al que, desde ahora, podemos llamar yo estadístico o identidad estadística y que es el resultado de la prospección, adivinación de comportamientos y, al fin, operaciones reales que los bots ejercen
en nombre de cada uno de nosotros y de cada una de nuestras identidades supuestamente reales.” Agustín Fernández Mallo. Los residuos de nuestra identidad están hoy esparcidos no solo por el
mundo físico sino también por el virtual. Comentarios en las redes, ideas, opiniones, fotografías, historias, vídeos, correos, búsquedas y un largo etcétera de datos que configuran una pluralidad de yoes de los que el mercado se sirve para predecir, modelar y modificar nuestro comportamiento como consumidores.
Datamorph no solo reflexiona sobre esta realidad, sino que explora y explota la identidad de sus intérpretes con la finalidad de establecer un diálogo entre ésta, la propia fisicidad de los saxofonistas y el perfil que se deduce de la recopilación y análisis de los datos que ellos mismos habrán proporcionado previamente en el marco de la obra.
Alejandro Álvarez, compositor",07/12/2023 a las 09:30,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-grupo-de-saxofones-del-conservatorio-superior-de-musica-de-aragon-xixcongreso-mundial-de-saxofon-2023
Conferencia de Eladio Selles Navarro (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),,07/12/2023 a las 10:30,SALA CAIRASCO,https://www.tomaticket.es/es-es/entradas-conferencia-de-eladio-selles-navarro-xix-congreso-mundial-del-saxofon-2023
Ruben Caballero Ortega (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
NUEVA MÚSICA ANDALUZA PARA SAXOFON
PROGRAMA DEL CONCIERTO
Azahar  (PREMIERE PERFORMANCE)……………..Rubén Caballero Ortega
Ramé  (PREMIERE PERFORMANCE) …………………Sergio Ramos Rodríguez
Nébula (PREMIERE PERFORMANCE)…………………Rubén Caballero Ortega
Ta´Ra (PREMIERE PERFORMANCE)……………Sergio Ramos Rodríguez
A la luz de un candil ( PREMIERE PERFORMANCE)……………….Oscar Musso Buendía
NOTA DE PROGRAMA
Este conjunto de obras fue editada a finales de 2020, con motivo del encuentro pedagógico de saxofón Andalucia Sax, que pretende la divulgación de un nuevo repertorio de música para saxofón de compositores andaluces. Estos tres compositores andaluces, con gran relación con el saxofón y la música más tradicional andaluza. Su inspiración parte de la música tradicional y popular hasta las raíces flamencas fusionadas con todas las posibilidades que ofrece el saxofón y la música contemporánea.",07/12/2023 a las 11:00,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-ruben-caballero-ortega-xix-congreso-mundial-del-saxofon-2023
1 2 3 Flassico! (XIX CONGRESO MUNDIAL DEL SAXOFÓN 2023),"TÍTULO DEL CONCIERTO
Flassico
PROGRAMA DEL CONCIERTO
Dansa nocturna (saxophone, dance)…………………………David Salleras
Flamenco etude nr 1, (saxophone)……………………………….Kristof Zgraja
Flassico – Farruca, based on farruca Punta y Tacon…………………………..Sabicas (WORLD PREMIERE) (saxophone, dance, guitar)
NOTA DE PROGRAMA
Flassico es el próximo proyecto de las hermanas Wolynczyks, que colaboran repetidamente en programas de fusión, como Tierra y Alma, Tierra y Alcalá. Esta vez han invitado al fantástico guitarrista flamenco Kamil Urbanski.
Flassico es un viaje musical de búsqueda de la verdad en la expresión, el lenguaje musical y el virtuosismo. Qué tocar y cómo tocar para presentar una imagen coherente, llena de significado, extremadamente honesta y veraz
a nosotros mismos y al público. Así va en cierto modo inspirada en la Sonata de Hindemith. La primera pieza, Dansa nocturna de David Salleras, pone su fuerte impacto clásico en la danza: el bailarín tiene que subordinarse a la música, el intérprete debe seguir estrictamente el texto. En el Estudio flamenco de Zgraja, los artistas muestran sus dudas sobre el modo en que debe evolucionar esta música. Buscan experimentando con el sonido, los efectos y la interpretación. Mientras que en la farruca final – finalmente encuentran el equilibrio entre las necesidades artísticas y la expresión veraz de cada uno de los músicos: saxofonista, guitarrista y bailaor.
farruca (árabe «faruq» – «valiente») – uno de los más recientes estilos de flamenco agallegado. Fue popularizado en Polonia por la familia Wolynczyk gracias a su versión valiente en el año 2007.",07/12/2023 a las 12:30,Centro Cultural CICCA,https://www.tomaticket.es/es-es/entradas-1-2-3-flassico-xix-congreso-mundial-del-saxofon-2023
